variable_name,unit,expected_unit,unit_conversion_status,count
accuracy,unknown,%,not_provided,2
cholesterol,unknown,mg/dL,not_provided,2
co2,unknown,ppm,not_provided,2
cognitive_score,unknown,score,not_provided,2
crp,unknown,mg/L,not_provided,2
fatigue_score,unknown,score,not_provided,2
glucose,unknown,mg/dL,not_provided,2
heart_rate,bpm,bpm,already_standard,2
hematocrit,unknown,%,not_provided,2
hemoglobin,unknown,g/dL,not_provided,2
hrv_rmssd,unknown,unknown,not_provided,2
humidity,unknown,%,not_provided,2
light_exposure,unknown,lux,not_provided,2
mood_score,unknown,score,not_provided,2
noise,unknown,dB,not_provided,2
reaction_time,unknown,ms,not_provided,2
recovery_score,unknown,score,not_provided,2
resting_hr,unknown,bpm,not_provided,2
sleep_duration,unknown,hours,not_provided,2
sleep_efficiency,unknown,%,not_provided,2
steps,unknown,unknown,not_provided,2
stress_score,unknown,score,not_provided,2
temperature,unknown,C,not_provided,2
wake_after_sleep_onset,unknown,min,not_provided,2
