subject_id,source,target,edge_type,weight,connects_active_domains,relationship,interpretation
Crew 100987,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,1.0,False,Cardiovascular and metabolic systems share regulatory feedback loops.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 100987,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,1.0,False,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 100987,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,1.0,False,Metabolic state and body composition are bidirectionally coupled.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 100987,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,1.0,False,Inflammatory signalling modulates metabolic pathways.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 94465,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,1.0,False,Cardiovascular and metabolic systems share regulatory feedback loops.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 94465,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,1.0,False,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 94465,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,1.0,False,Metabolic state and body composition are bidirectionally coupled.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 94465,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,1.0,False,Inflammatory signalling modulates metabolic pathways.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 97774,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,1.0,False,Cardiovascular and metabolic systems share regulatory feedback loops.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 97774,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,1.0,False,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 97774,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,1.0,False,Metabolic state and body composition are bidirectionally coupled.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 97774,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,1.0,False,Inflammatory signalling modulates metabolic pathways.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 97774,Body composition / physical status,Hematologic / oxygen-carrying,within_subject_coactivation,1.98728,True,Both domains show elevated reference-relative activation in this subject.,Co-activation is not causal proof; it flags a pattern for review.
Crew 99813,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,1.0,False,Cardiovascular and metabolic systems share regulatory feedback loops.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 99813,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,1.0,False,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 99813,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,1.0,False,Metabolic state and body composition are bidirectionally coupled.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
Crew 99813,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,1.0,True,Inflammatory signalling modulates metabolic pathways.,Conceptual biological relationship; not causal proof. Flags domains for co-review.
