hazard,hazard_display,domain,weight,interpretation
space_radiation,Space Radiation,inflammation / immune-adjacent status,0.8,'inflammation / immune-adjacent status' is conceptually relevant to Space Radiation (HRP relevance weight 0.8). Interpretation context only; not exposure measurement or causal proof.
space_radiation,Space Radiation,hematologic / oxygen-carrying capacity,0.7,'hematologic / oxygen-carrying capacity' is conceptually relevant to Space Radiation (HRP relevance weight 0.7). Interpretation context only; not exposure measurement or causal proof.
space_radiation,Space Radiation,cardiovascular regulation,0.5,'cardiovascular regulation' is conceptually relevant to Space Radiation (HRP relevance weight 0.5). Interpretation context only; not exposure measurement or causal proof.
space_radiation,Space Radiation,recovery-related markers,0.6,'recovery-related markers' is conceptually relevant to Space Radiation (HRP relevance weight 0.6). Interpretation context only; not exposure measurement or causal proof.
space_radiation,Space Radiation,cognitive load,0.4,'cognitive load' is conceptually relevant to Space Radiation (HRP relevance weight 0.4). Interpretation context only; not exposure measurement or causal proof.
isolation_and_confinement,Isolation and Confinement,sleep / circadian regulation,0.9,'sleep / circadian regulation' is conceptually relevant to Isolation and Confinement (HRP relevance weight 0.9). Interpretation context only; not exposure measurement or causal proof.
isolation_and_confinement,Isolation and Confinement,autonomic regulation,0.8,'autonomic regulation' is conceptually relevant to Isolation and Confinement (HRP relevance weight 0.8). Interpretation context only; not exposure measurement or causal proof.
isolation_and_confinement,Isolation and Confinement,emotional regulation,0.9,'emotional regulation' is conceptually relevant to Isolation and Confinement (HRP relevance weight 0.9). Interpretation context only; not exposure measurement or causal proof.
isolation_and_confinement,Isolation and Confinement,cognitive load,0.8,'cognitive load' is conceptually relevant to Isolation and Confinement (HRP relevance weight 0.8). Interpretation context only; not exposure measurement or causal proof.
isolation_and_confinement,Isolation and Confinement,inflammation / immune-adjacent status,0.4,'inflammation / immune-adjacent status' is conceptually relevant to Isolation and Confinement (HRP relevance weight 0.4). Interpretation context only; not exposure measurement or causal proof.
isolation_and_confinement,Isolation and Confinement,recovery capacity,0.5,'recovery capacity' is conceptually relevant to Isolation and Confinement (HRP relevance weight 0.5). Interpretation context only; not exposure measurement or causal proof.
distance_from_earth,Distance from Earth,recovery capacity,0.8,'recovery capacity' is conceptually relevant to Distance from Earth (HRP relevance weight 0.8). Interpretation context only; not exposure measurement or causal proof.
distance_from_earth,Distance from Earth,cognitive load,0.7,'cognitive load' is conceptually relevant to Distance from Earth (HRP relevance weight 0.7). Interpretation context only; not exposure measurement or causal proof.
distance_from_earth,Distance from Earth,emotional regulation,0.6,'emotional regulation' is conceptually relevant to Distance from Earth (HRP relevance weight 0.6). Interpretation context only; not exposure measurement or causal proof.
distance_from_earth,Distance from Earth,autonomic regulation,0.6,'autonomic regulation' is conceptually relevant to Distance from Earth (HRP relevance weight 0.6). Interpretation context only; not exposure measurement or causal proof.
distance_from_earth,Distance from Earth,cardiovascular regulation,0.4,'cardiovascular regulation' is conceptually relevant to Distance from Earth (HRP relevance weight 0.4). Interpretation context only; not exposure measurement or causal proof.
gravity_fields,Gravity Fields,body composition / physical status,0.9,'body composition / physical status' is conceptually relevant to Gravity Fields (HRP relevance weight 0.9). Interpretation context only; not exposure measurement or causal proof.
gravity_fields,Gravity Fields,cardiovascular regulation,0.8,'cardiovascular regulation' is conceptually relevant to Gravity Fields (HRP relevance weight 0.8). Interpretation context only; not exposure measurement or causal proof.
gravity_fields,Gravity Fields,metabolic regulation,0.7,'metabolic regulation' is conceptually relevant to Gravity Fields (HRP relevance weight 0.7). Interpretation context only; not exposure measurement or causal proof.
gravity_fields,Gravity Fields,hematologic / oxygen-carrying capacity,0.6,'hematologic / oxygen-carrying capacity' is conceptually relevant to Gravity Fields (HRP relevance weight 0.6). Interpretation context only; not exposure measurement or causal proof.
gravity_fields,Gravity Fields,recovery-related markers,0.6,'recovery-related markers' is conceptually relevant to Gravity Fields (HRP relevance weight 0.6). Interpretation context only; not exposure measurement or causal proof.
gravity_fields,Gravity Fields,autonomic regulation,0.5,'autonomic regulation' is conceptually relevant to Gravity Fields (HRP relevance weight 0.5). Interpretation context only; not exposure measurement or causal proof.
hostile_closed_environments,Hostile / Closed Environments,inflammation / immune-adjacent status,0.8,'inflammation / immune-adjacent status' is conceptually relevant to Hostile / Closed Environments (HRP relevance weight 0.8). Interpretation context only; not exposure measurement or causal proof.
hostile_closed_environments,Hostile / Closed Environments,recovery-related markers,0.7,'recovery-related markers' is conceptually relevant to Hostile / Closed Environments (HRP relevance weight 0.7). Interpretation context only; not exposure measurement or causal proof.
hostile_closed_environments,Hostile / Closed Environments,sleep / circadian regulation,0.6,'sleep / circadian regulation' is conceptually relevant to Hostile / Closed Environments (HRP relevance weight 0.6). Interpretation context only; not exposure measurement or causal proof.
hostile_closed_environments,Hostile / Closed Environments,autonomic regulation,0.5,'autonomic regulation' is conceptually relevant to Hostile / Closed Environments (HRP relevance weight 0.5). Interpretation context only; not exposure measurement or causal proof.
hostile_closed_environments,Hostile / Closed Environments,metabolic regulation,0.5,'metabolic regulation' is conceptually relevant to Hostile / Closed Environments (HRP relevance weight 0.5). Interpretation context only; not exposure measurement or causal proof.
hostile_closed_environments,Hostile / Closed Environments,emotional regulation,0.5,'emotional regulation' is conceptually relevant to Hostile / Closed Environments (HRP relevance weight 0.5). Interpretation context only; not exposure measurement or causal proof.
