feature_name,mean_squared_error,root_mean_squared_error
attr_node__recovery_related_markers,0.21584824,0.46459471
attr_subgraph__cognitive_emotional_recovery,0.19861653,0.44566414
graph_delta__coactivation_edge_count,0.14793613,0.38462466
recovery_frac__max_node_activation,0.14141553,0.37605256
recovery_frac__mean_node_activation,0.13930594,0.37323711
recovery_frac__total_node_activation,0.1388281,0.37259643
graph_delta__graph_density,0.13510836,0.36757089
recovery_finaldelta__max_node_activation,0.13498609,0.36740453
recovery_finaldelta__mean_node_activation,0.12678658,0.35607103
attr_node__body_composition_physical_status,0.10669312,0.32663913
recovery_finaldelta__total_node_activation,0.09335644,0.30554287
domain_delta__body_composition_physical_status,0.09184546,0.30306016
graph_delta__n_active_domains,0.07954583,0.28203871
graph_delta__active_domain_fraction,0.07689724,0.27730352
hazard_delta__distance_from_earth,0.06700303,0.25884944
domain_delta__recovery_related_markers,0.06234832,0.24969645
domain_delta__cardiovascular_regulation,0.0616907,0.24837613
hazard_delta__isolation_and_confinement,0.05847679,0.24181975
envelope__n_outside_node_envelope,0.05578323,0.23618474
hazard_delta__gravity_fields,0.05521197,0.23497227
graph_delta__mean_node_activation,0.05513225,0.23480258
domain_delta__inflammation_immune_adjacent,0.05504974,0.2346268
envelope__n_outside_graph_envelope,0.05434281,0.23311543
graph_delta__total_node_activation,0.05138072,0.22667315
envelope__n_outside_hazard_envelope,0.05003107,0.22367625
hazard_delta__space_radiation,0.04896081,0.22127089
attr_node__hematologic_oxygen_carrying,0.04837134,0.21993485
attr_node__inflammation_immune_adjacent,0.04778423,0.21859604
attr_node__cardiovascular_regulation,0.04557781,0.21348959
attr_node__metabolic_regulation,0.0450831,0.21232782
domain_delta__hematologic_oxygen_carrying,0.04391751,0.20956505
hazard_delta__hostile_closed_environments,0.04348819,0.20853821
domain_delta__metabolic_regulation,0.04074679,0.20185833
graph_delta__max_node_activation,0.03613754,0.19009875
attr_subgraph__hematologic_cardiovascular,0.03069435,0.17519802
attr_hazard__distance_from_earth,0.02621017,0.16189557
attr_hazard__isolation_and_confinement,0.02601586,0.16129432
attr_subgraph__cardiometabolic,0.01674014,0.1293837
attr_hazard__space_radiation,0.01649854,0.12844663
attr_hazard__hostile_closed_environments,0.01274157,0.11287855
attr_hazard__gravity_fields,0.00910897,0.09544093
attr_subgraph__immune_metabolic,0.00749297,0.08656195
recovery_finaldelta__n_active_domains,0.00078121,0.02795014
recovery_frac__n_active_domains,0.00068464,0.02616563
attr_subgraph__sleep_autonomic_recovery,0.00037334,0.01932207
